ID,Block,PlotID,Species,Canopy,Trans,Fire,Snow,S1Tot,S2Tot,S3Tot,Row,Col,Pop,F1,Sp1,Su1,F2,Sp2,Su2,Su2.H,F3,F3.H,Sp3,Sp3.H,Su3.Fl,Su3.Fr,Su3.Sd,Su3.H
26,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,4,5,GR,,,,,1,1,4.5,1,5,1,4,,,,
27,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,4,6,DB,,,,,,,,,,,,,,,
28,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,4,7,WM,,,,,1,1,2,1,3,0,,,,,
29,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,5,1,GT,,,,,1,0,,0,,0,,,,,
30,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,5,2,GR,,1,1,1,0,0,,0,,0,,,,,
31,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,5,3,WM,,1,1,1,1,1,8,1,8,1,8,,,,
32,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,5,4,SF,,1,1,1,1,1,16,1,18,1,18,,,,
33,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,5,5,SF,,1,1,1,1,0,,0,,0,,,,,
34,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,5,6,GT,,,,,,,,,,,,,,,
35,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,5,7,WM,,1,1,1,0,0,,0,,0,,,,,
36,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,6,1,GR,,1,1,1,0,0,,0,,0,,,,,
37,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,6,2,PH,,1,1,1,0,0,,0,,0,,,,,
38,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,6,3,WM,,,,,,,,,,,,,,,
39,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,6,4,GT,,,,,,,,,,,,,,,
40,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,6,5,GT,,1,1,1,1,0,,0,,0,,,,,
41,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,6,6,PH,,1,1,1,1,1,3,0,,0,,,,,
42,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,6,7,DB,,1,1,1,1,1,4.5,0,,0,,,,,
43,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,7,1,WM,,,,,,,,,,,,,,,
44,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,7,2,GR,,1,1,0,0,0,,0,,0,,,,,
45,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,7,3,GT,,1,1,1,1,1,14,1,15,1,14,,,,
46,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,7,4,SF,,,,,,,,,,,,,,,
47,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,7,5,GT,,1,1,1,1,0,,0,,0,,,,,
48,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,7,6,SF,,1,1,1,1,1,20,1,16,1,11,,,,
49,1,1,cs,T,47.45,1,-,109.22,30.48,10.16,7,7,GR,,1,1,0,0,0,,0,,0,,,,,
99,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,1,1,PH,,1,1,0,0,0,,0,,0,,,,,
100,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,1,2,SF,,,,,,,,,,,,,,,
101,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,1,3,SF,,1,1,1,1,0,,0,,0,,,,,
102,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,1,4,GR,,,,,,,,,,,,,,,
103,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,1,5,GT,,1,1,1,0,0,,0,,0,,,,,
104,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,1,6,DB,,,,,,,,,,,,,,,
105,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,1,7,WM,,1,1,1,1,1,1,1,2,0,,,,,
106,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,2,1,GT,,,,,1,1,4,1,4,1,4,,,,
107,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,2,2,GT,,1,1,0,0,0,,0,,0,,,,,
108,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,2,3,SF,,,,,,,,,,,,,,,
109,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,2,4,WM,,,,,,,,,,,,,,,
110,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,2,5,GT,,1,1,1,1,1,4,1,4,0,,,,,
111,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,2,6,SF,,1,1,1,0,0,,0,,0,,,,,
112,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,2,7,WM,,1,1,1,0,0,,0,,0,,,,,
113,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,3,1,GR,,,1,0,0,0,,0,,0,,,,,
114,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,3,2,SF,,,,,,,,,,,,,,,
115,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,3,3,GR,,1,1,1,0,0,,0,,0,,,,,
116,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,3,4,PH,,1,1,1,0,0,,0,,0,,,,,
117,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,3,5,GT,,1,1,0,0,0,,0,,0,,,,,
118,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,3,6,WM,,,,,,,,,,,,,,,
119,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,3,7,WM,,,,,,,,,,,,,,,
120,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,4,1,GT,,1,1,0,0,0,,0,,0,,,,,
121,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,4,2,DB,,1,1,1,1,1,0.5,0,,0,,,,,
122,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,4,3,GT,,,,,,,,,,,,,,,
123,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,4,4,GR,,,,,,,,,,,,,,,
124,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,4,5,GR,,,,,1,1,11.5,1,12,1,10,,,,
125,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,4,6,GR,,1,1,1,0,0,,0,,0,,,,,
126,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,4,7,SF,,,,,,,,,,,,,,,
127,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,5,1,GT,,,,,1,0,,0,,0,,,,,
128,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,5,2,GT,,,,,,,,,,,,,,,
129,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,5,3,WM,,,,,1,1,6,1,5,1,5,,,,
130,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,5,4,WM,,,,,,,,1,6,1,6,,,,
131,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,5,5,GT,,,,,1,1,5.5,1,5,1,5,,,,
132,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,5,6,WM,,,,,,,,,,,,,,,
133,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,5,7,DB,,1,1,1,1,0,,0,,0,,,,,
134,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,6,1,GT,,,,,,,,,,,,,,,
135,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,6,2,SF,,1,1,1,0,0,,0,,0,,,,,
136,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,6,3,GR,,,,,,,,,,,,,,,
137,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,6,4,GT,,,,,,,,,,,,,,,
138,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,6,5,GR,,,,,,,,,,,,,,,
139,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,6,6,SF,,,,,,,,,,,,,,,
140,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,6,7,SF,,1,1,1,1,0,,0,,,0,,,,
141,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,7,1,WM,,,,,,,,,,,,,,,
142,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,7,2,GT,,,,,,,,,,,,,,,
143,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,7,3,PH,,,,,,,,,,,,,,,
144,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,7,4,GT,,,,,,,,,,1,1,,,,
145,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,7,5,WM,,,,,,,,,,,,,,,
146,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,7,6,GR,,,,,,,,,,,,,,,
147,1,7,cs,T,47.45,1,+,248.92,83.82,58.42,7,7,SF,,1,1,1,0,0,,0,,0,,,,,
50,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,1,1,SF,,1,1,1,1,1,20,1,27,1,18,,,,
51,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,1,2,SF,,1,1,0,0,0,,0,,0,,,,,
52,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,1,3,GT,,,,,1,0,,0,,0,,,,,
53,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,1,4,PH,,,,,1,1,11,1,11,1,10,,,,
54,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,1,5,GR,,1,1,1,1,1,10.5,1,11,0,,,,,
55,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,1,6,GT,,,,,,,,,,,,,,,
56,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,1,7,SF,,,,,,,,,,,,,,,
57,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,2,1,GR,,,,,1,1,5,1,5,0,,,,,
58,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,2,2,PH,,1,1,1,1,1,2.5,1,2,0,,,,,
59,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,2,3,GR,,,,,,,,,,1,,,,,
60,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,2,4,GR,,,,,,,,,,,,,,,
61,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,2,5,SF,,,,,1,1,15,1,15,1,15,,,,
62,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,2,6,WM,,,,,,,,,,,,,,,
63,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,2,7,SF,,,,,,,,,,,,,,,
64,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,3,1,GR,,,,,1,1,8.5,1,9,1,9,,,,
65,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,3,2,GT,,,,,1,1,5,1,5,1,5,,,,
66,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,3,3,WM,,,,,,,,,,,,,,,
67,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,3,4,WM,,,,,,,,,,,,,,,
68,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,3,5,GR,,,,,,,,,,,,,,,
69,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,3,6,GT,,,,,,,,,,,,,,,
70,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,3,7,GT,,,,,,,,,,,,,,,
71,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,4,1,SF,,1,1,1,1,1,11,1,12,1,13,,,,
72,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,4,2,WM,,1,1,1,1,1,11,1,12,1,12,,,,
73,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,4,3,GR,,,,,,,,,,,,,,,
74,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,4,4,WM,,,,,1,1,13.5,1,12,1,15,,,,
75,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,4,5,GT,,,,,,,,,,,,,,,
76,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,4,6,DB,,,,,,,,,,,,,,,
77,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,4,7,PH,,,,,,,,,,,,,,,
78,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,5,1,WM,,,,,,,,,,,,,,,
79,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,5,2,SF,,,,,1,1,14.5,1,15,1,19,,,,
80,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,5,3,SF,,,,,1,1,5.5,0,,0,,,,,
81,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,5,4,GR,,1,1,0,0,0,,0,,0,,,,,
82,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,5,5,WM,,,,,,,,,,,,,,,
83,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,5,6,GT,,,,,,,,,,,,,,,
84,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,5,7,GR,,,,,,,,,,,,,,,
85,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,6,1,GT,,1,1,0,0,0,,0,,0,,,,,
86,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,6,2,SF,,1,1,1,1,1,25,1,25,1,25,,,,
87,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,6,3,GR,,1,1,0,0,0,,0,,0,,,,,
88,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,6,4,GT,,1,1,0,0,0,,0,,0,,,,,
89,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,6,5,GT,,1,1,1,0,0,,0,,0,,,,,
90,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,6,6,GT,,,,,,,,,,,,,,,
91,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,6,7,DB,,1,1,1,1,0,,0,,0,,,,,
92,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,7,1,SF,,,,,1,1,8,1,8,1,9,,,,
93,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,7,2,WM,,,,,,,,,,,,,,,
94,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,7,3,WM,,1,1,1,1,1,13,1,16,1,14,,,,
95,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,7,4,GT,,,,,1,1,12,1,14,1,11,,,,
96,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,7,5,DB,,1,1,0,0,0,,0,,,,,,,
97,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,7,6,GT,,,,,,,,,,,,,,,
98,1,4,cs,T,47.45,1,A,154.94,45.72,30.48,7,7,WM,,,,,,,,,,,,,,,
246,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,1,1,SF,,,,,1,1,4,1,4,1,4,,,,
247,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,1,2,GR,,1,1,1,1,1,3,1,5,1,5,,,,
248,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,1,3,WM,,,,,,,,,,,,,,,
249,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,1,4,GT,,,,,,,,,,,,,,,
250,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,1,5,GT,,,,,,,,,,,,,,,
251,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,1,6,SF,,,,,1,1,5,1,5,1,4,,,,
252,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,1,7,SF,,,,,,,,,,,,,,,
253,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,2,1,GR,,1,1,0,0,0,,0,,0,,,,,
254,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,2,2,GR,,,,,,,,,,,,,,,
255,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,2,3,GT,,,,,,,,,,,,,,,
256,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,2,4,SF,,1,1,0,0,0,,0,,0,,,,,
257,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,2,5,WM,,,,,,,,,,1,1,,,,
258,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,2,6,GT,,1,1,1,1,1,2,0,,0,,,,,
259,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,2,7,DB,,1,1,1,1,1,2.5,1,3,1,3,,,,
260,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,3,1,WM,,,,,,,,,,,,,,,
261,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,3,2,SF,,,,,1,1,6,1,5,1,5,,,,
262,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,3,3,PH,,1,1,0,0,0,,0,,0,,,,,
263,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,3,4,GT,,,,,1,1,3,1,4,0,,,,,
264,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,3,5,WM,,,,,,,,,,,,,,,
265,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,3,6,GT,,,,,,,,,,,,,,,
266,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,3,7,WM,,,,,,,,,,,,,,,
267,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,4,1,PH,,,,,,,,,,,,,,,
268,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,4,2,GR,,,,,1,1,5.5,1,6,1,6,,,,
269,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,4,3,WM,,,,,,,,,,,,,,,
270,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,4,4,DB,,,,,,,,,,,,,,,
271,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,4,5,GT,,,,,,,,,,,,,,,
272,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,4,6,GT,,,,,,,,,,,,,,,
273,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,4,7,GT,,1,1,0,0,0,,0,,0,,,,,
274,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,5,1,SF,,,,,,,,,,,,,,,
275,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,5,2,SF,,,,,,,,,,,,,,,
276,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,5,3,SF,,,,,,,,,,,,,,,
277,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,5,4,GT,,,,,,,,,,,,,,,
278,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,5,5,GR,,1,1,1,0,0,,0,,0,,,,,
279,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,5,6,SF,,1,1,0,0,0,,0,,0,,,,,
280,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,5,7,PH,,,,,,,,,,,,,,,
281,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,6,1,GR,,1,1,0,0,0,,0,,0,,,,,
282,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,6,2,GT,,1,1,1,1,0,,0,,0,,,,,
283,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,6,3,WM,,,,,,,,,,,,,,,
284,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,6,4,GT,,,,,1,1,3,1,2,1,3,,,,
285,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,6,5,WM,,1,1,0,0,0,,0,,0,,,,,
286,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,6,6,GR,,,,,,,,,,,,,,,
287,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,6,7,GT,,,,,,,,,,,,,,,
288,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,7,1,GT,,,,,,,,,,,,,,,
289,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,7,2,WM,,,,,,,,,,,,,,,
290,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,7,3,WM,,,,,,,,,,,,,,,
291,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,7,4,SF,,,,,,,,,,,,,,,
292,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,7,5,DB,,,,,,,,,,,,,,,
293,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,7,6,GR,,,,,1,1,4,1,5,1,5,,,,
294,2,16,cs,T,39.64,0,-,104.14,27.94,7.62,7,7,GT,,,,,,,,,,,,,,,
148,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,1,1,GR,,,,,1,1,5.5,0,,0,,,,,
149,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,1,2,WM,,,,,,,,,,,,,,,
150,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,1,3,WM,,,,,1,1,3,0,,0,,,,,
151,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,1,4,GT,,1,1,1,1,0,,0,,0,,,,,
152,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,1,5,GR,,,,,,,,,,,,,,,
153,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,1,6,WM,,,,,,,,,,,,,,,
154,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,1,7,WM,,1,0,0,0,0,,0,,0,,,,,
155,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,2,1,GT,,,,,,,,,,,,,,,
156,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,2,2,GT,,,,,,,,,,,,,,,
157,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,2,3,PH,,,,,,1,3,,,,,,,,
158,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,2,4,DB,,,,,,,,,,,,,,,
159,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,2,5,WM,,,,,,,,,,,,,,,
160,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,2,6,GT,1,1,0,0,0,0,,0,,0,,,,,
161,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,2,7,GT,,,,,,,,,,,,,,,
162,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,3,1,GT,,1,1,1,0,0,,0,,0,,,,,
163,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,3,2,GT,,1,1,0,0,0,,0,,0,,,,,
164,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,3,3,GT,,,,,1,1,4,1,4,0,,,,,
165,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,3,4,SF,,1,0,0,0,0,,0,,0,,,,,
166,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,3,5,GR,,,,,,,,,,,,,,,
167,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,3,6,WM,,,,,,,,,,,,,,,
168,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,3,7,WM,,,,,1,1,4.5,1,4,1,5,,,,
169,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,4,1,GR,,1,1,1,1,1,3,1,4,1,3,,,,
170,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,4,2,SF,1,1,1,1,1,1,2,1,2,0,,,,,
171,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,4,3,DB,,1,1,0,0,0,,0,,0,,,,,
172,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,4,4,GR,,,,,,,,,,,,,,,
173,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,4,5,WM,,,,,,,,,,,,,,,
174,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,4,6,GT,,1,1,1,1,1,1,1,2,0,,,,,
175,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,4,7,GR,,,,,,,,,,1,1,,,,
176,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,5,1,GT,,,,,1,1,4,1,5,1,5,,,,
177,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,5,2,SF,,,,,,,,,,,,,,,
178,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,5,3,SF,,,,,1,1,2.5,1,3,0,,,,,
179,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,5,4,GT,,,,,,,,,,,,,,,
180,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,5,5,PH,,1,1,1,0,0,,0,,0,,,,,
181,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,5,6,SF,,,,,1,1,2,1,2,1,3,,,,
182,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,5,7,SF,,,,,,,,,,,,,,,
183,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,6,1,SF,,,,,,,,,,,,,,,
184,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,6,2,GT,,,,,1,1,6,1,5,1,7,,,,
185,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,6,3,GT,,,,,,,,,,,,,,,
186,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,6,4,WM,,,,,,,,,,,,,,,
187,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,6,5,GR,,,,,,,,,,,,,,,
188,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,6,6,WM,,,,,,,,,,,,,,,
189,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,6,7,DB,,,,,1,1,4,1,3,1,3,,,,
190,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,7,1,PH,,,,,,,,,,,,,,,
191,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,7,2,SF,,,,,,,,,,,,,,,
192,2,10,cs,T,39.64,0,+,228.6,73.66,53.34,7,3,GR,,,,,,,,,,,,,,,
